strategy,symbol,bars,gross_sharpe,net_sharpe,gross_ann_return,net_ann_return,gross_ann_vol,net_ann_vol,gross_max_drawdown,net_max_drawdown,hit_rate,avg_turnover,total_turnover,break_even_cost_bps,trade_ticks,trade_tick_pct,entry_ticks,entry_tick_pct,exit_ticks,exit_tick_pct,flip_ticks,flip_tick_pct,bars_in_market,market_exposure_pct,avg_abs_position,hold_count,avg_hold_bars,median_hold_bars,max_hold_bars
crypto_fast_ema_long_only,BTCUSD,85981,-7.156365552047404,-7.156365552047404,-2.6590718679460634,-2.6590718679460634,0.3715673617574377,0.3715673617574377,-0.367852718707801,-0.367852718707801,0.24675218943720123,0.06627045510054547,5698.0,-0.7634045881337789,5698.0,0.06627045510054547,2849.0,0.03313522755027273,2849.0,0.03313522755027273,0.0,0.0,43014.0,0.5002733161977646,0.5002733161977646,2849.0,15.097929097929098,10.0,140.0
crypto_fast_ema_long_only,ETHUSD,65826,-3.749159186865819,-3.749159186865819,-2.1285700881501404,-2.1285700881501404,0.5677459883824135,0.5677459883824135,-0.27524353442106697,-0.27524353442106697,0.23970771427703338,0.06711633700969222,4418.0,-0.6033986751245732,4418.0,0.06711633700969222,2209.0,0.03355816850484611,2209.0,0.03355816850484611,0.0,0.0,33235.0,0.5048916841369672,0.5048916841369672,2209.0,15.045269352648257,10.0,200.0
crypto_fast_ema_long_only,SOLUSD,70441,-5.7736772981029105,-5.7736772981029105,-3.899901414801126,-3.899901414801126,0.6754623117025502,0.6754623117025502,-0.4434080085074288,-0.4434080085074288,0.2380005962436649,0.06547323291832881,4612.0,-1.133272854646959,4612.0,0.06547323291832881,2306.0,0.032736616459164404,2306.0,0.032736616459164404,0.0,0.0,34762.0,0.49349100665805423,0.49349100665805423,2306.0,15.074588031222897,10.0,142.0
crypto_regime_trend,BTCUSD,85981,1.343790601357846,1.343790601357846,0.26696074277162957,0.26696074277162957,0.1986624571580398,0.1986624571580398,-0.06167202000576022,-0.06167202000576022,0.10498831137111687,0.006350240169339738,546.0,0.7998377442785599,546.0,0.006350240169339738,273.0,0.003175120084669869,273.0,0.003175120084669869,0.0,0.0,17991.0,0.20924390272269455,0.20924390272269455,273.0,65.9010989010989,41.0,399.0
crypto_regime_trend,ETHUSD,65826,1.780764451138929,1.780764451138929,0.561658570128465,0.561658570128465,0.315403067356406,0.315403067356406,-0.06878207106232892,-0.06878207106232892,0.09528149971136025,0.006289308176100629,414.0,1.6990812909137354,414.0,0.006289308176100629,207.0,0.0031446540880503146,207.0,0.0031446540880503146,0.0,0.0,13098.0,0.19897912678880686,0.19897912678880686,207.0,63.27536231884058,36.0,371.0
crypto_regime_trend,SOLUSD,70441,1.8585114441891004,1.8585114441891004,0.6099783625189812,0.6099783625189812,0.32820802068567567,0.32820802068567567,-0.10114282059153368,-0.10114282059153368,0.0883860251841967,0.005848866427222782,412.0,1.9842087930113879,412.0,0.005848866427222782,206.0,0.002924433213611391,206.0,0.002924433213611391,0.0,0.0,12662.0,0.17975326869294872,0.17975326869294872,206.0,61.46601941747573,34.5,523.0
fast_ma_churn,AAPL,3120,8.118742495116413,8.118742495116413,1.8925382551896917,1.8925382551896917,0.23310731388858452,0.23310731388858452,-0.025862524302197043,-0.025862524302197043,0.4983974358974359,0.11698717948717949,365.0,1.6460432747899036,183.0,0.058653846153846154,1.0,0.0003205128205128205,0.0,0.0,182.0,0.058333333333333334,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
fast_ma_churn,AMD,3120,-8.298315677352468,-8.298315677352468,-6.458246674511257,-6.458246674511257,0.7782599416092261,0.7782599416092261,-0.24988752127411895,-0.24988752127411895,0.49743589743589745,0.14647435897435898,457.0,-4.4862954913071835,229.0,0.0733974358974359,1.0,0.0003205128205128205,0.0,0.0,228.0,0.07307692307692308,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
fast_ma_churn,NFLX,3120,1.0003958105643738,1.0003958105643738,0.31383174381193996,0.31383174381193996,0.3137075750396152,0.3137075750396152,-0.05225080266456328,-0.05225080266456328,0.5022435897435897,0.13173076923076923,411.0,0.2424066302181593,206.0,0.06602564102564103,1.0,0.0003205128205128205,0.0,0.0,205.0,0.06570512820512821,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
fast_ma_churn,NVDA,3120,-8.994547110582804,-8.994547110582804,-4.505326742234417,-4.505326742234417,0.500895341015396,0.500895341015396,-0.18732241754668366,-0.18732241754668366,0.49198717948717946,0.14711538461538462,459.0,-3.1160402131856126,230.0,0.07371794871794872,1.0,0.0003205128205128205,0.0,0.0,229.0,0.0733974358974359,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
fast_ma_churn,PLTR,3120,6.040447414392774,6.040447414392774,3.7176408673653625,3.7176408673653625,0.6154578646785694,0.6154578646785694,-0.08262300986033133,-0.08262300986033133,0.5096153846153846,0.1233974358974359,385.0,3.0654635063824878,193.0,0.06185897435897436,1.0,0.0003205128205128205,0.0,0.0,192.0,0.06153846153846154,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
fast_ma_churn,SPY,3120,3.387609342216419,3.387609342216419,0.554145220834431,0.554145220834431,0.16358002498359775,0.16358002498359775,-0.015802045567165246,-0.015802045567165246,0.5057692307692307,0.12467948717948718,389.0,0.4522342357974709,195.0,0.0625,1.0,0.0003205128205128205,0.0,0.0,194.0,0.06217948717948718,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
fast_ma_churn,TSLA,3120,-1.5381880219053843,-1.5381880219053843,-0.8502344022418766,-0.8502344022418766,0.5527506326493652,0.5527506326493652,-0.10267943919470357,-0.10267943919470357,0.492948717948718,0.13493589743589743,421.0,-0.6411298889581696,211.0,0.06762820512820512,1.0,0.0003205128205128205,0.0,0.0,210.0,0.0673076923076923,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
micro_momentum_flip,AAPL,3120,4.562053795063647,4.562053795063647,1.0651219985688163,1.0651219985688163,0.2334742303392669,0.2334742303392669,-0.03180757977112725,-0.03180757977112725,0.4983974358974359,0.19006410256410255,593.0,0.5702090519386581,297.0,0.09519230769230769,1.0,0.0003205128205128205,0.0,0.0,296.0,0.09487179487179487,3117.0,0.9990384615384615,0.9990384615384615,1.0,3117.0,3117.0,3117.0
micro_momentum_flip,AMD,3120,6.391295438640403,6.391295438640403,4.979502768799854,4.979502768799854,0.7791069614298924,0.7791069614298924,-0.09646136189696386,-0.09646136189696386,0.49198717948717946,0.36185897435897435,1129.0,1.4001723027260686,565.0,0.18108974358974358,1.0,0.0003205128205128205,0.0,0.0,564.0,0.18076923076923077,3117.0,0.9990384615384615,0.9990384615384615,1.0,3117.0,3117.0,3117.0
micro_momentum_flip,NFLX,3120,2.1267249094876033,2.1267249094876033,0.6681605058017508,0.6681605058017508,0.3141734517807159,0.3141734517807159,-0.0523331175561631,-0.0523331175561631,0.49935897435897436,0.2483974358974359,775.0,0.27369605972421945,388.0,0.12435897435897436,1.0,0.0003205128205128205,0.0,0.0,387.0,0.12403846153846154,3117.0,0.9990384615384615,0.9990384615384615,1.0,3117.0,3117.0,3117.0
micro_momentum_flip,NVDA,3120,-10.45117049638787,-10.45117049638787,-5.2453843172526415,-5.2453843172526415,0.5018944355625573,0.5018944355625573,-0.1958643599049209,-0.1958643599049209,0.4791666666666667,0.34326923076923077,1071.0,-1.5548098698005546,536.0,0.1717948717948718,1.0,0.0003205128205128205,0.0,0.0,535.0,0.17147435897435898,3117.0,0.9990384615384615,0.9990384615384615,1.0,3117.0,3117.0,3117.0
micro_momentum_flip,PLTR,3120,-10.29714203439732,-10.29714203439732,-6.352994492724665,-6.352994492724665,0.6169667730621432,0.6169667730621432,-0.21216428538824705,-0.21216428538824705,0.48333333333333334,0.38237179487179485,1193.0,-1.690547903171853,597.0,0.19134615384615383,1.0,0.0003205128205128205,0.0,0.0,596.0,0.191025641025641,3117.0,0.9990384615384615,0.9990384615384615,1.0,3117.0,3117.0,3117.0
micro_momentum_flip,SPY,3120,-5.563780168428175,-5.563780168428175,-0.9100330977256306,-0.9100330977256306,0.16356381276342274,0.16356381276342274,-0.05231373058582933,-0.05231373058582933,0.4996794871794872,0.13237179487179487,413.0,-0.6995142762793578,207.0,0.06634615384615385,1.0,0.0003205128205128205,0.0,0.0,206.0,0.06602564102564103,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0
micro_momentum_flip,TSLA,3120,-7.552744516289138,-7.552744516289138,-4.175512667404477,-4.175512667404477,0.5528470688236673,0.5528470688236673,-0.17744468643368594,-0.17744468643368594,0.48012820512820514,0.34647435897435896,1081.0,-1.2262345762754876,541.0,0.1733974358974359,1.0,0.0003205128205128205,0.0,0.0,540.0,0.17307692307692307,3117.0,0.9990384615384615,0.9990384615384615,1.0,3117.0,3117.0,3117.0
